time,pitch,pitch_est,roll,roll_est
3.33,-0.008876269,-0.021522675,0.231109828,0.178124362
3.34,-0.008495709,-0.014629803,0.212143585,0.177928756
3.35,-0.00841132,-0.013916634,0.193131,0.168604202
3.36,-0.00829388,-0.009433839,0.172974959,0.155807565
3.37,-0.0080386,-0.00913997,0.159940317,0.14161633
3.38,-0.007437193,-0.008744901,0.151876166,0.162964568
3.39,-0.006844887,-0.005957145,0.143175319,0.137463028
3.4,-0.006628267,-0.005733668,0.125667632,0.113621823
3.41,-0.006980659,-0.005148924,0.100501634,0.082693696
3.42,-0.007040138,-0.004997691,0.078128077,0.064683175
3.43,-0.006871946,-0.006030928,0.061894268,0.045097804
3.44,-0.007124078,-0.007868088,0.045658041,0.02659874
3.45,-0.007109214,-0.005406665,0.033437099,-0.01473932
3.46,-0.008211772,-0.007576703,0.02036483,-0.008767479
3.47,-0.008114206,-0.008797778,0.015056587,-0.008362875
3.48,-0.00761182,-0.00910057,0.012450512,-0.007910736
3.49,-0.007075835,-0.01650386,0.010299253,-0.034012736
3.5,-0.007329244,-0.01271363,0.008537292,-0.021478424
3.51,-0.007412351,-0.011882221,0.008275059,-0.015583325
3.52,-0.007491284,-0.010242102,0.007701077,-0.011329249
3.53,-0.006824069,-0.009176547,0.005856936,-0.012165472
3.54,-0.007574448,-0.006703669,0.00367066,0.017194681
3.55,-0.009691656,-0.000863165,-0.010274946,-0.007619094
3.56,-0.010543916,-0.003378295,-0.054103721,-0.036104336
3.57,-0.012237821,0.000388583,-0.095570602,-0.076405477
3.58,-0.012651192,-0.001430938,-0.138304129,-0.107146038
3.59,-0.012902722,-0.008491824,-0.161452919,-0.15237775
3.6,-0.012218608,-0.016111781,-0.153539389,-0.165949113
3.61,-0.010785931,-0.016729511,-0.129456699,-0.151670374
3.62,-0.008623938,-0.019426201,-0.101848423,-0.133973705
3.63,-0.009606975,-0.022058583,-0.065637648,-0.068441504
3.64,-0.008226229,-0.022401685,-0.023850927,-0.042936001
3.65,-0.007444927,-0.016206193,-0.003623092,-0.025330927
3.66,-0.007440932,-0.013671831,-0.001181006,-0.015721634
3.67,-0.006901821,-0.010730228,-0.000490285,-0.010790026
3.68,-0.006802332,-0.009312417,-0.001304595,-0.009644015
3.69,-0.009131092,-0.009310405,-0.005556926,0.014963626
3.7,-0.009607472,-0.001623821,-0.035736538,-0.051419188
3.71,-0.009794176,-0.001695834,-0.082757734,-0.072024585
3.72,-0.010363105,-0.000542954,-0.123070776,-0.106990332
3.73,-0.011711857,-0.002063573,-0.160504967,-0.139453945
3.74,-0.012239091,-0.002820866,-0.191963628,-0.177334856
3.75,-0.012520789,0.010952474,-0.215804428,-0.156512104
3.76,-0.010781623,0.001861454,-0.21685195,-0.225277149
3.77,-0.01069362,-0.002140976,-0.206123248,-0.223073486
3.78,-0.009789713,-0.013640189,-0.163009658,-0.187958295
3.79,-0.00756664,-0.017626067,-0.113460191,-0.149756558
3.8,-0.007039939,-0.026653212,-0.057290733,-0.102323101
3.81,-0.003450067,-0.015983151,-0.016293142,-0.055149389
3.82,-0.002944962,-0.013266185,-0.013310081,-0.031224871
3.83,-0.002890861,-0.010863538,-0.011479046,-0.018636077
3.84,-0.003422552,-0.010846054,-0.009652838,-0.011874653
3.85,-0.003874027,-0.010584348,-0.008057441,-0.008837131
3.86,-0.004245712,-0.018331596,-5.76E-05,-0.002759318
3.87,-0.003911878,-0.023707007,0.053880021,0.033310977
3.88,-0.003315988,-0.018351321,0.117420003,0.101810936
3.89,-0.004204584,-0.016560946,0.163674846,0.136851026
3.9,-0.005055322,-0.027397331,0.196486175,0.171033336
3.91,-0.005855579,-0.019206817,0.206992567,0.195230248
3.92,-0.006370737,-0.013330679,0.187740415,0.194932134
3.93,-0.006838956,-0.008633038,0.150967002,0.164095086
3.94,-0.006858119,-0.002323666,0.107909322,0.125394023
3.95,-0.006585156,-0.000893904,0.058828298,0.088506023
3.96,-0.007717821,-0.004423744,-0.001651798,0.035774998
3.97,-0.007898424,-0.007513858,-0.004048734,0.012892159
3.98,-0.007723115,-0.009150925,-0.002921539,0.001578808
3.99,-0.00832314,-0.017301795,0.001175632,-0.010175189
4,-0.007970869,-0.021585806,0.03299661,0.008174788
4.01,-0.007424915,-0.02536002,0.083050296,0.045566596
4.02,-0.006320079,-0.020530103,0.139792204,0.098365696
4.03,-0.006590205,-0.029551828,0.164261758,0.13580428
4.04,-0.007512469,-0.019161241,0.168652967,0.155963407
4.05,-0.007218737,-0.011885949,0.150947958,0.145568277
4.06,-0.006703721,-0.007444012,0.121555433,0.129727848
4.07,-0.006976907,-0.001947296,0.073804975,0.094521953
4.08,-0.007674729,-0.002013763,0.022028813,0.043349792
4.09,-0.006405989,-0.005960792,0.000549681,0.014195487
4.1,-0.005950428,-0.007042425,-0.001245388,0.000745165
4.11,-0.00622237,-0.00898552,-0.000999514,-0.004793755
4.12,-0.008391974,-0.005014623,-6.81E-05,-0.000781733
4.13,-0.03067985,-0.014511008,0.002296532,-0.012904212
4.14,-0.100673474,-0.067848413,0.003029266,-0.02269106
4.15,-0.172138974,-0.126649167,0.002571284,-0.020092969
4.16,-0.22765176,-0.190505908,0.00355987,0.008448857
4.17,-0.250859976,-0.231327279,0.005426771,-0.010019969
4.18,-0.262864918,-0.235166972,0.005236929,-0.001167041
4.19,-0.243342012,-0.260946086,0.003698859,-0.005423986
4.2,-0.189121276,-0.224697165,0.004924875,0.007094505
4.21,-0.101348445,-0.153867328,0.002997218,0.01031426
4.22,-0.000299513,-0.081241817,-0.001351694,-0.010162707
4.23,-0.001047344,-0.050172445,9.01E-05,-0.005946
4.24,-0.001853082,-0.029576879,6.68E-06,-0.006987418
4.25,-0.002574962,-0.023261349,-7.35E-05,-0.007245467
4.26,-0.003784454,-0.015857973,-0.00016218,-0.009488633
4.27,-0.005915454,-0.015861508,0.001423002,-0.029106587
4.28,-0.02252611,-0.016776364,0.001893115,-0.026577565
4.29,-0.078090765,-0.054019725,0.003180064,-0.025426358
4.3,-0.165829152,-0.123094776,0.003928139,-0.026457688
4.31,-0.228039011,-0.186495124,0.004012767,-0.000856287
4.32,-0.256607145,-0.217203813,0.004862925,0.000395632
4.33,-0.268400043,-0.242330271,0.004466848,0.007185186
4.34,-0.260670394,-0.276910215,0.004905131,0.005702549
4.35,-0.240125507,-0.263377702,0.004818371,0.005310557
4.36,-0.20234181,-0.229993208,0.005737245,0.006087066
4.37,-0.154917836,-0.189045425,0.005313946,0.009675727
4.38,-0.106206544,-0.139684782,0.004140057,0.008637595
4.39,-0.057535648,-0.103434297,0.003399475,0.001074577
4.4,-0.008588213,-0.06176928,0.00338162,-0.006136536
4.41,-0.008581315,-0.038332677,0.003821046,-0.005264251
4.42,-0.008839564,-0.02729383,0.003143733,-0.006893513
4.43,-0.009171342,-0.02034022,0.002618067,-0.009232172
4.44,-0.009933524,-0.017909034,0.002130732,-0.009006878
